Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2486.91,2.5,6.21,2.602568468,2.99772006,0.001005264
2519,2.53,6.37,2.597088735,2.998107646,0.001004367
2475.93,2.79,6.91,2.554260315,2.948134159,0.001126849
2327.77,3.21,7.47,2.493619465,2.860435034,0.001379002
2444.83,2.82,6.89,2.550029444,2.937999558,0.001153454
2353.72,3.03,7.13,2.518665268,2.890312169,0.001287324
2314.77,3.23,7.48,2.490606247,2.855305323,0.001395387
2314.77,3.13,7.24,2.504769279,2.868963508,0.001352186
2426.77,2.84,6.9,2.546179527,2.931710277,0.00117028
2499.95,2.73,6.81,2.564784211,2.961768676,0.001092022
2444.79,2.7,6.6,2.568697625,2.956877796,0.001104389
2430.76,2.72,6.6,2.566198146,2.951173177,0.001118992
2424.8,2.72,6.6,2.565131988,2.950107019,0.001121742
2487.94,2.74,6.81,2.562692791,2.95808934,0.001101313
2535,2.46,6.25,2.608097946,3.013042857,0.000970414
2548.04,2.43,6.18,2.615217766,3.020599968,0.000953674
2410.77,2.74,6.6,2.562611843,2.944405216,0.001136566
2487.81,2.13,5.3,2.67154134,3.067437606,0.000856175
2461.9,2.36,5.8,2.627842415,3.018358405,0.000958609
2529,2.67,6.75,2.573645057,2.976437568,0.001055753
2461.9,3.1,7.62,2.509315437,2.899908714,0.00125919
2461.9,2.86,7.03,2.544315083,2.934904375,0.001161704
2989.62,2.31,6.92,2.635509896,3.11200401,0.000772673
2821.37,2.37,6.68,2.625683582,3.075711698,0.000840017
2461.9,2.83,6.97,2.54803763,2.939483973,0.001149519
2448.86,2.71,6.64,2.566795878,2.955994667,0.001106637
2461.95,2.74,6.74,2.562619332,2.953528666,0.001112939
2461.9,2.46,6.05,2.609515034,3.000335301,0.000999228
2420.8,2.73,6.6,2.564414975,2.947796264,0.001127726
2404.83,2.75,6.6,2.561540446,2.941751687,0.001143532
2467.81,2.68,6.6,2.572767784,2.964176926,0.001085983
2419.8,2.73,6.6,2.564235537,2.947616825,0.001128192
2433.89,2.59,6.3,2.586960397,2.973001182,0.00106414
2241.72,2.78,6.23,2.55609332,2.906536571,0.001240119
2358.78,3.11,7.34,2.506991377,2.879927048,0.001318478
2330.68,3.09,7.19,2.510753759,2.87752417,0.001325793
2446.94,2.55,6.24,2.593438731,2.98208314,0.001042118
2388.71,2.92,6.97,2.53493065,2.912780576,0.001222417
2461.9,2.3,5.65,2.639221961,3.029542572,0.000934238
2534.01,2.16,5.48,2.665027766,3.069354573,0.000852404
2358.74,2.8,6.6,2.553136136,2.925522041,0.001187074
2344.66,2.82,6.6,2.550535939,2.919830766,0.001202733
2381.77,2.77,6.6,2.557355885,2.934420052,0.001163001
2387.73,2.76,6.6,2.55844128,2.937076134,0.00115591
2369.72,2.79,6.6,2.555153098,2.929092831,0.001177354
2401.8,3.14,7.54,2.503165495,2.883607192,0.001307353
2327.77,3.17,7.38,2.498883705,2.865880805,0.001361818
2447.85,3,7.35,2.522497462,2.911663547,0.001225565
2589.99,2.67,6.91,2.57382004,2.986786826,0.001030892
2472.93,3.06,7.57,2.514115944,2.907490397,0.001237399
2428.87,2.37,5.75,2.625736426,3.010655925,0.000975762
2461.9,2.24,5.51,2.650118809,3.04102239,0.000909866
2486.91,2.78,6.92,2.555553974,2.951615273,0.001117853
2897.5,3.14,9.11,2.502505068,2.965093797,0.001083693
2939.58,3.13,9.21,2.504025654,2.972740946,0.001064778
2891.43,3.09,8.94,2.509775164,2.971154203,0.001068675
2855.42,3.11,8.88,2.507257031,2.962909608,0.001089157
2604,2.04,5.3,2.69136511,3.106010812,0.00078341
2569.98,1.95,5,2.710959739,3.119895132,0.000758761
2373.75,2.95,7,2.530336938,2.905612962,0.001242759
2417.87,3.06,7.4,2.514201227,2.89771152,0.001265577
2471.9,2.67,6.6,2.573486962,2.966519636,0.001080141
2457.87,2.69,6.6,2.571014973,2.960806629,0.001094444
2381.77,2.94,7,2.531801781,2.90855249,0.001234376
2549.03,2.35,6,2.628223696,3.035307085,0.000921919
2770.34,2.64,7.3,2.579210213,3.020929146,0.000952952
2963.59,2.83,8.4,2.547538835,3.020031685,0.000954923
2462.91,3.36,8.27,2.473943033,2.865109265,0.00136424
2519,2.68,6.75,2.571924395,2.973093373,0.001063914
4318.02,1.7,7.34,2.76958859,3.404835728,0.000393699
2468.87,2.67,6.6,2.572954287,2.965986961,0.001081466
2652.09,1.89,5,2.724618254,3.147126454,0.000712645
2682.07,1.86,5,2.729500104,3.158957164,0.000693494
2605.97,1.92,5,2.716999407,3.132668183,0.00073677
2637.08,2.01,5.3,2.696847435,3.117927248,0.000762207
2611.04,2.03,5.3,2.692537655,3.109317487,0.000777468
2717.17,1.95,5.3,2.709840941,3.1440822,0.000717658
2674.14,1.98,5.3,2.702908271,3.13051895,0.000740425
2599.03,2.04,5.3,2.690535423,3.105181125,0.000784908
2632.06,1.9,5,2.721325781,3.141542184,0.000721868
2557.91,1.95,5,2.708915255,3.117850648,0.000762341
2915.52,2.78,8.1,2.556231006,3.020671229,0.000953518
2907.43,2.74,7.96,2.5625962,3.025758705,0.000942413
2477.82,2.97,7.36,2.52719194,2.921313305,0.001198634
2512.9,2.77,6.95,2.558190402,2.957695437,0.001102312
2454.8,2.85,7,2.544918075,2.935171255,0.001160991
2461.84,2.84,7,2.546161784,2.937941484,0.001153609
2461.88,2.84,7,2.54616884,2.93794854,0.00115359
2402.72,2.91,7,2.535605123,2.916810174,0.001211127
2458.83,2.85,7,2.545630463,2.935883643,0.001159088
2447.86,2.86,7,2.543688536,2.932420543,0.001168367
2521.91,2.84,7.16,2.546816561,2.948411244,0.001126131
2458.82,2.85,7,2.545628697,2.935881877,0.001159093
2458.82,2.69,6.6,2.571182801,2.960974457,0.001094021
2388.71,2.76,6.6,2.558619492,2.937254346,0.001155435
2434.83,2.71,6.6,2.566924709,2.953499353,0.001113014
2770.41,2.54,7.05,2.594354929,3.03771033,0.000916832
2519.07,2.61,6.57,2.583674866,2.984599729,0.001036097
2416.82,3.19,7.71,2.496189928,2.879453623,0.001319916
2550.97,3.21,8.19,2.493421449,2.900200319,0.001258345
3090.64,2.03,6.28,2.692088777,3.182552383,0.000656822
2402.79,3.34,8.03,2.476000271,2.856969349,0.001390051
2387.82,3.4,8.11,2.468980731,2.846522668,0.001423893
3463.96,1.55,5.37,2.809598583,3.34924117,0.000447465
2487.92,3.36,8.37,2.473110953,2.869497134,0.001350526
2617.03,2.87,7.5,2.542747438,2.959926804,0.001096663
2592.05,2.89,7.49,2.539161557,2.952745532,0.001114948
2363.78,3.47,8.2,2.459793201,2.833277579,0.001467988
2470.96,2.87,7.09,2.54221948,2.934983818,0.001161492
3457.07,1.28,4.44,2.891325203,3.431498204,0.000370256
2388.76,3.47,8.29,2.459617988,2.837843043,0.001452637
2418.79,3.45,8.36,2.461391887,2.845779069,0.001426333
2428.83,3.52,8.56,2.452923354,2.838854455,0.001449257
2484.98,2.67,6.64,2.573154818,2.968811636,0.001074455
2490.99,2.58,6.42,2.588836956,2.984752278,0.001035733
2406.82,2.32,5.59,2.634031804,3.015955627,0.000963928
2533.07,2.73,6.9,2.564798101,2.967484544,0.001077744
2461.9,2.31,5.69,2.636158142,3.027658428,0.0009383
2436.81,3.45,8.41,2.462025672,2.849002573,0.001415785
2461.9,2.86,7.03,2.544315083,2.934904375,0.001161704
2473.82,2.99,7.41,2.523549888,2.917696908,0.001208657
3484.03,1.34,4.68,2.871836033,3.414977088,0.000384612
2447.88,2.81,6.89,2.550570902,2.940083804,0.001147932
2437.84,3.04,7.41,2.517186991,2.904131615,0.001247006
3566.11,1.47,5.23,2.833693046,3.384877401,0.000412214
2905.53,1.94,5.62,2.713489048,3.175423634,0.000667692
2868.48,2.55,7.33,2.592547852,3.051111646,0.000888973
3015.69,1.81,5.47,2.74139937,3.221708121,0.000600194
2842.4,2.5,7.1,2.602426846,3.055745186,0.000879538
2817.41,2.38,6.7,2.623775249,3.073273095,0.000844747
2912.61,2.55,7.42,2.593878431,3.057742156,0.000875503
2551.07,2.64,6.72,2.579353103,2.985118449,0.00103486
2957.65,2.01,5.96,2.69570052,3.167750722,0.000679594
2828.49,2.18,6.17,2.661269484,3.113098154,0.000770729
2857.5,1.82,5.21,2.739148516,3.195914851,0.00063692
2856.5,2.59,7.41,2.58601602,3.042534464,0.000906704
2905.53,2.46,7.16,2.608312342,3.072290257,0.000846661
2946.62,2.47,7.27,2.607789721,3.076627179,0.000838249
2900.51,2.18,6.32,2.661757289,3.124017874,0.000751592
2845.42,2.27,6.46,2.643913862,3.098120523,0.000797773
2801.41,2.4,6.71,2.620654154,3.067165433,0.000856711
2359.72,3.14,7.42,2.502456568,2.875930825,0.001330666
2284.75,2.99,6.82,2.525054311,2.883167498,0.001308677
2458.86,3.11,7.64,2.507640443,2.897973413,0.001264814
2653.07,1.88,5,2.724778704,3.14959086,0.000708613
2463.83,2.68,6.6,2.572066803,2.963475945,0.001087737
2463.83,2.68,6.6,2.572066803,2.963475945,0.001087737
2405.75,2.74,6.6,2.561706559,2.943499932,0.001138938
2413.77,2.74,6.6,2.56315195,2.944945322,0.001135154
2367.74,2.79,6.6,2.554790076,2.928729808,0.001178339
2455.85,2.69,6.6,2.570657902,2.960449557,0.001095344
2372.76,2.78,6.6,2.555709877,2.931209016,0.001171631
3421.1,2.19,7.5,2.659104506,3.193721654,0.000640145
4237.07,1.78,7.52,2.750847798,3.376645637,0.000420102
2676.06,1.98,5.3,2.703219977,3.130830656,0.000739894
2461.9,2.71,6.68,2.566493946,2.958301117,0.001100776
2461.9,2.81,6.93,2.550537174,2.942564088,0.001141395
2359.72,3.14,7.42,2.502456568,2.875930825,0.001330666
2400.77,3.08,7.39,2.511706117,2.891799839,0.001282922
2417.76,2.19,5.3,2.659137319,3.042969073,0.000905797
2419.8,2.73,6.6,2.564235537,2.947616825,0.001128192
2454.8,2.85,7,2.544918075,2.935171255,0.001160991
2406.8,2.49,6,2.603288752,2.985240656,0.001034569
2456.86,2.69,6.6,2.570836474,2.96062813,0.001094893
2483.89,2.66,6.6,2.575588423,2.970250722,0.001070901
3558.18,1.65,5.86,2.783330298,3.33374397,0.00046372
2563.01,1.95,5,2.709780296,3.118715689,0.000760824
2586.05,1.93,5,2.713666913,3.127079608,0.000746312
2632.06,1.9,5,2.721325781,3.141542184,0.000721868
2476.96,2.67,6.6,2.574375058,2.967407732,0.001077934
2475.97,2.14,5.3,2.669469509,3.063331605,0.000864308
2339.69,2.82,6.6,2.549614383,2.918909211,0.001205288
2457.82,2.85,7,2.545452034,2.935705214,0.001159564
2397.73,2.75,6.6,2.560256342,2.940467583,0.001146918
2343.72,2.82,6.6,2.550361791,2.919656618,0.001203215
2381.77,2.77,6.6,2.557355885,2.934420052,0.001163001
2381.77,2.94,7,2.531801781,2.90855249,0.001234376
2372.76,2.78,6.6,2.555709877,2.931209016,0.001171631
2442.81,2.87,7,2.542791649,2.930007792,0.001174876
2373.7,2.95,7,2.53032779,2.905603814,0.001242786
2383.79,2.77,6.6,2.557724058,2.934788225,0.001162015
2355.69,2.8,6.6,2.552574203,2.924960107,0.001188611
2530.87,2.61,6.6,2.583725902,2.986629331,0.001031266
2488.79,2.65,6.6,2.576444318,2.972742379,0.001064774
2471.9,2.83,7,2.547932858,2.941244462,0.001144868
2676.06,1.87,5,2.728525842,3.15565424,0.000698789
2576.94,2.56,6.6,2.591560371,3.002864341,0.000993426
2486.87,2.65,6.6,2.576109148,2.972407209,0.001065597
2402.74,2.88,6.93,2.539973544,2.921314291,0.001198632
2353.72,3.03,7.13,2.518665268,2.890312169,0.001287324
2771.36,2.36,6.53,2.627779763,3.069780941,0.000851567
3844.63,1.94,7.44,2.713281615,3.297052821,0.0005046
2634.03,2.01,5.3,2.696344847,3.11742466,0.000763089
2594.99,1.93,5,2.715165684,3.12857838,0.000743741
2852.51,2.5,7.14,2.601528964,3.057287167,0.000876421
2851.52,2.3,6.55,2.638835122,3.093348586,0.000806587
2932.6,2.23,6.53,2.652339649,3.118947967,0.000760417
2461.88,3.1,7.64,2.508173522,2.899905186,0.0012592
2420.78,3.02,7.31,2.520037946,2.90394838,0.001247532
2403.87,2.97,7.14,2.527212766,2.908154528,0.001235508
2486.91,2.81,7,2.550562029,2.946953749,0.001129916
2826.4,2.3,6.5,2.638320268,3.089505788,0.000813756
2484.98,2.24,5.57,2.649467703,3.045074879,0.000901416
3724.37,1.94,7.23,2.711914522,3.28325109,0.000520893
2541.93,1.97,5,2.706193582,3.110697361,0.000775002
2675.08,1.98,5.3,2.703060905,3.130671584,0.000740165
2490.99,2.67,6.65,2.573550339,2.969860723,0.001071863
2462.89,2.35,5.79,2.628766452,3.020377153,0.000954164
2499.95,2.83,7.07,2.548511909,2.946144887,0.001132023
2458.86,3.11,7.64,2.507640443,2.897973413,0.001264814
2414.8,3.07,7.42,2.512477262,2.895742792,0.001271327
3528.15,1.58,5.58,2.800912842,3.348889954,0.000447827
2471.86,3.03,7.5,2.517962606,2.911581241,0.001225798
2506.95,2.4,6.03,2.61882836,3.018934431,0.000957339
3575.19,1.94,6.94,2.711939656,3.265497397,0.000542629
2488.97,2.63,6.54,2.580441914,2.976063914,0.001056662
2607.99,2.03,5.3,2.692030052,3.108809884,0.000778377
2607.92,1.92,5,2.717324261,3.132993036,0.000736219
2636.09,1.9,5,2.721990229,3.142206633,0.000720764
2557.91,1.95,5,2.708915255,3.117850648,0.000762341
2503.04,2.66,6.67,2.574341956,2.973586153,0.001062708
3544.15,1.55,5.51,2.808360496,3.359180396,0.00043734
2882.45,2.28,6.57,2.642196413,3.101826936,0.000790994
2442.9,2.81,6.88,2.550317251,2.93919937,0.001150272
2519,2.68,6.75,2.571924395,2.973093373,0.001063914
2858.47,2.45,7,2.611035599,3.066967554,0.000857102
2842.51,1.93,5.49,2.714129657,3.168144692,0.000678977
3660.41,1.67,6.1,2.778199898,3.340813262,0.000456233
2512.9,3.06,7.7,2.513684481,2.91445378,0.001217717
2564,2.83,7.25,2.548580014,2.957131585,0.001103744
2852.44,2.06,5.88,2.685839192,3.141349298,0.000722189
2594.99,1.93,5,2.715165684,3.12857838,0.000743741
2543.88,1.97,5,2.706526617,3.111030395,0.000774408
2545.97,1.96,5,2.706883278,3.113597211,0.000769844
2471.9,2.83,7,2.547932858,2.941244462,0.001144868
2519,2.1,5.3,2.676952298,3.079008873,0.000833664
2399.83,2.75,6.6,2.560636543,2.940847784,0.001145915
2388.72,2.22,5.3,2.653889376,3.031812271,0.000929368
2374.73,2.23,5.3,2.651338369,3.027309376,0.000939054
2429.82,2.84,6.89,2.547354881,2.932255762,0.001168811
2485.88,2.91,7.23,2.536341863,2.931587171,0.001170612
2428.87,2.87,6.97,2.542171493,2.927522374,0.001181619
2461.9,2.43,5.97,2.615296077,3.005664135,0.000987043
2430.8,2.72,6.6,2.566205292,2.951180324,0.001118973
2397.73,2.75,6.6,2.560256342,2.940467583,0.001146918
2434.83,2.71,6.6,2.566924709,2.953499353,0.001113014
2448.86,2.7,6.6,2.569420022,2.957600193,0.001102554
2429.81,2.72,6.6,2.56602838,2.951003411,0.001119429
2384.78,2.77,6.6,2.557904385,2.934968552,0.001161533
2355.69,2.8,6.6,2.552574203,2.924960107,0.001188611
2429.81,2.72,6.6,2.56602838,2.951003411,0.001119429
2514.92,2.63,6.6,2.580980239,2.980568426,0.001045759
2544.95,2.59,6.6,2.586135319,2.99237949,0.001017702
2465.8,2.68,6.6,2.572413913,2.963823054,0.001086868
2430.8,3.02,7.34,2.520053168,2.905742285,0.001242389
2400.78,3.04,7.3,2.517029504,2.897478781,0.001266255
2372.76,3.09,7.34,2.509557752,2.885295333,0.001302281
2461.9,2.38,5.87,2.622632307,3.014693451,0.000966733
2354.7,3.18,7.48,2.498033986,2.869508464,0.001350491
2414.85,2.98,7.2,2.525557663,2.908673895,0.001234031
2475.93,2.72,6.73,2.565723298,2.959169458,0.001098577
2328.75,3.28,7.64,2.484029509,2.851249024,0.001408481
2419.86,2.43,5.89,2.613674946,2.998183967,0.00100419
2832.4,2.38,6.73,2.624139521,3.075577629,0.000840277
2425.96,1.98,4.79,2.704548122,3.088218446,0.000816172
3235.91,1.64,5.32,2.784084802,3.295152586,0.000506813
3448.01,1.58,5.44,2.801969617,3.33891143,0.000458235
3992.72,1.1,4.4,2.957816179,3.55987617,0.000275501
3094.76,1.4,4.33,2.854139079,3.344498939,0.000452378
2487.94,2.74,6.81,2.562692791,2.95808934,0.001101313
2392.84,3.54,8.47,2.45103025,2.829910398,0.001479414
2328.75,3.2,7.44,2.495549932,2.86197289,0.001374128
2270.72,3.17,7.19,2.499434695,2.855104323,0.001396033
2414.85,2.98,7.2,2.525557663,2.908673895,0.001234031
2385.81,3.15,7.52,2.501418014,2.879325301,0.001320306
2387.78,3.2,7.64,2.494900952,2.872844332,0.001340157
2472.88,2.98,7.38,2.52514668,2.918986778,0.001205073
2471.86,2.99,7.4,2.52379215,2.917352681,0.001209615
2523.03,2.98,7.51,2.526282478,2.92770615,0.00118112
2415.79,2.75,6.63,2.561545651,2.943726485,0.001138344
2444.87,3.43,8.38,2.465011753,2.852961651,0.001402938
3102.78,2.37,7.36,2.624873169,3.117002637,0.000763831
3516.1,1.27,4.48,2.894783204,3.442257497,0.000361196
2842.4,2.18,6.19,2.661994545,3.115228701,0.000766958
2868.48,2,5.74,2.698739934,3.156621831,0.000697233
2896.56,2.51,7.27,2.600348118,3.062208808,0.000866545
2872.5,2.52,7.25,2.597922031,3.056859497,0.000877285
2916.55,2.5,7.3,2.601546566,3.066929418,0.000857177
2815.4,2.42,6.8,2.617031194,3.06572474,0.000859558
2946.62,2.15,6.32,2.668607054,3.136885672,0.00072965
2372.76,2.78,6.6,2.555709877,2.931209016,0.001171631
2856.5,2.41,6.88,2.61824579,3.073817186,0.00084369
2387.77,3.16,7.54,2.500621146,2.878305409,0.001323411
2433.89,2.87,6.97,2.543068168,2.92841905,0.001179182
2385.85,3.03,7.24,2.51790457,2.896200507,0.001269988
2567.04,2.68,6.89,2.571213414,2.981297842,0.001044004
2487.94,2.13,5.3,2.671564033,3.067460299,0.00085613
2621.97,1.91,5,2.719657714,3.137594351,0.00072846
2675.08,1.98,5.3,2.703060905,3.130671584,0.000740165
2594.05,1.93,5,2.715008338,3.128421034,0.00074401
2603.06,2.04,5.3,2.691208309,3.105854011,0.000783693
2544.97,1.96,5,2.706712663,3.113426596,0.000770147
2642.02,2.92,7.72,2.534318801,2.956553249,0.001105215
2348.79,2.56,6.02,2.591247698,2.962604224,0.001089923
2817.41,2.57,7.25,2.589512045,3.039916928,0.000912185
3724.37,2.07,7.72,2.683435519,3.255082474,0.000555799
2912.61,2.55,7.42,2.593878431,3.057742156,0.000875503
2913.59,2.46,7.17,2.608909282,3.073493331,0.000844319
2867.52,2.37,6.79,2.625636681,3.08275811,0.000826498
2847.49,2.2,6.26,2.657887874,3.112039527,0.00077261
2905.53,2.15,6.24,2.668040774,3.130786904,0.000739968
2944.56,2.4,7.06,2.620215707,3.088809166,0.000815062
2461.9,2.83,6.97,2.54803763,2.939483973,0.001149519
2477.84,2.73,6.77,2.563484591,2.957910612,0.001101766
2370.74,2.94,6.97,2.531651149,2.906536597,0.001240119
2416.73,2.76,6.67,2.559102299,2.942319051,0.001142039
2484.9,2.95,7.34,2.529612856,2.9254869,0.001187171
2328.75,3.2,7.44,2.495549932,2.86197289,0.001374128
2886.52,2.05,5.91,2.68878709,3.14862071,0.000710198
2829.43,2.47,6.98,2.607843531,3.059002001,0.000872967
2461.9,2.98,7.35,2.524983069,2.917054144,0.001210447
3104.73,1.84,5.71,2.73538773,3.227206015,0.000592644
2504.97,2.49,6.23,2.604314482,3.002603182,0.000994024
2508.92,2.86,7.17,2.543967658,2.94312078,0.001139933
2584.03,2.05,5.3,2.688021682,3.10054369,0.000793334
2470.96,2.87,7.09,2.54221948,2.934983818,0.001161492
2548,2.68,6.84,2.571143322,2.97806463,0.001051805
2744.26,1.99,5.46,2.701232613,3.139572179,0.00072515
2886.52,2.27,6.55,2.644133271,3.104348714,0.000786414
2915.45,3.11,9.06,2.5075774,2.971945209,0.001066731
3052.72,2.94,8.97,2.531894529,3.016339642,0.000963076
2943.53,3.12,9.18,2.506025785,2.974713872,0.001059952
2893.49,3.19,9.24,2.495750015,2.957631303,0.001102475
2388.71,2.76,6.6,2.558619492,2.937254346,0.001155435
2441.87,2.7,6.6,2.568178604,2.956358775,0.00110571
3660.39,1.82,6.68,2.738750898,3.303455972,0.000497215
2648.18,2.7,7.15,2.568641459,2.991583737,0.001019568
2972.44,2.77,8.23,2.557713262,3.030633328,0.000931894
2550.01,2.7,6.88,2.568953445,2.975178119,0.001058819
2506.99,2.59,6.5,2.586239245,2.985852838,0.001033111
2401.8,2.93,7.05,2.532347723,2.91366922,0.001219918
2428.83,2.72,6.6,2.565853183,2.950828214,0.001119881
2445.81,2.7,6.6,2.568878781,2.957058952,0.001103929
2535,2.65,6.73,2.575962899,2.98073209,0.001045365
2439.77,2.71,6.6,2.567804951,2.954379596,0.00111076
2324.76,3.01,7,2.521280084,2.887811629,0.001294757
2614.96,1.91,5,2.718495046,3.136431683,0.000730413
2755.21,1.81,5,2.741184702,3.182476131,0.000656937
2645.05,2,5.3,2.698158016,3.12140389,0.000756129
2545.92,1.96,5,2.706874748,3.113588681,0.000769859
2689.15,1.97,5.3,2.705339158,3.135148802,0.000732573
2533.03,2.68,6.79,2.571770559,2.975505539,0.001058021
2461.9,2.67,6.57,2.573705039,2.964759147,0.001084528
2457.87,3.07,7.54,2.513187563,2.903420533,0.001249049
2330.68,3.09,7.19,2.510753759,2.87752417,0.001325793
2472.93,2.29,5.66,2.640395392,3.033376341,0.000926027
2387.78,3.2,7.64,2.494900952,2.872844332,0.001340157
2505.91,2.19,5.49,2.659393125,3.058521354,0.000873934
2590.12,2.46,6.38,2.608499207,3.022384778,0.000949763
2618.03,1.94,5.07,2.712966659,3.130172889,0.000741015
2957.65,2.12,6.28,2.672987136,3.144610919,0.000716785
2787.39,2.31,6.43,2.636986765,3.081585758,0.000828732
2330.68,2.55,5.94,2.593696204,2.960942469,0.001094101
2442.83,3.12,7.62,2.505938274,2.893738651,0.001277207
2436.8,2.91,7.09,2.536173651,2.922926897,0.001194189
2673.04,1.87,5,2.728035453,3.155163851,0.000699578
2717.16,1.84,5,2.735145208,3.16929739,0.000677178
2705.11,1.85,5,2.733214926,3.165013201,0.000683891
2641.07,2.01,5.3,2.697504042,3.118583855,0.000761055
2588.05,1.93,5,2.714002658,3.127415353,0.000745735
2589.03,1.93,5,2.714167078,3.127579774,0.000745453
2555.96,1.96,5,2.708584049,3.115297982,0.000766835
2534.96,2.09,5.3,2.679695241,3.083824825,0.000824471
2648.08,1.89,5,2.723961097,3.146469297,0.000713725
3645.25,1.31,4.79,2.881391805,3.444456023,0.000359372
3514.12,1.57,5.5,2.805453898,3.349916935,0.000446769
3516.1,1.39,4.87,2.858532257,3.403046418,0.000395324
3502.07,1.44,5.03,2.842756838,3.38596233,0.000411185
3518.11,1.72,6.04,2.765272476,3.310780967,0.000488899
3499.09,1.44,5.05,2.840663735,3.385592621,0.000411536
2533.03,2.45,6.21,2.610548733,3.014474249,0.000967221
2461.9,2.24,5.51,2.650118809,3.04102239,0.000909866
2371.78,3.21,7.62,2.493119431,2.86856937,0.001353414
2602.04,2.25,5.86,2.647416352,3.06313145,0.000864706
2644.06,1.89,5,2.723301302,3.145809502,0.00071481
2935.59,1.78,5.21,2.750857676,3.217275397,0.000606352
2488.84,2.81,7,2.550898938,2.947290658,0.00112904
2370.74,2.78,6.6,2.555339992,2.930839131,0.00117263
2395.8,2.76,6.6,2.559906625,2.938541479,0.001152016
2388.72,2.22,5.3,2.653889376,3.031812271,0.000929368
2402.74,2.75,6.6,2.561162843,2.941374085,0.001144527
2406.8,2.74,6.6,2.561896067,2.94368944,0.001138441
2406.8,2.74,6.6,2.561896067,2.94368944,0.001138441
2344.7,3.3,7.75,2.480785581,2.851573344,0.00140743
3905.64,1.83,7.14,2.737993998,3.32924112,0.000468553
3992.72,1.65,6.6,2.78172492,3.383784911,0.000413252
3060.61,1.98,6.07,2.702619302,3.189142803,0.00064693
2503,2.64,6.6,2.578916914,2.976856923,0.001054734
2668.04,1.87,5,2.727222332,3.15435073,0.000700889
2633.04,2.01,5.3,2.696181587,3.117261399,0.000763376
2675.08,1.98,5.3,2.703060905,3.130671584,0.000740165
2617.04,1.91,5,2.718840356,3.136776993,0.000729832
2584.96,1.93,5,2.713483823,3.126896518,0.000746627
2632.06,1.9,5,2.721325781,3.141542184,0.000721868
2659.13,1.99,5.3,2.7004637,3.125886493,0.000748365
2660.07,1.88,5,2.725923061,3.150735216,0.000706748
2551.97,1.96,5,2.70790556,3.114619493,0.000768034
2870.41,2.44,7,2.612845894,3.070554108,0.000850053
2300.74,3.12,7.19,2.505138653,2.867712949,0.001356085
2241.72,3.14,7.04,2.503008707,2.853651718,0.00140071
2447.88,2.89,7.08,2.538756866,2.927892281,0.001180613
2447.88,2.36,5.77,2.627614311,3.015878121,0.0009641
2328.75,3.26,7.6,2.486309276,2.853905268,0.001399893
2656.04,1.88,5,2.725264607,3.150076762,0.000707821
2607.99,2.03,5.3,2.692030052,3.108809884,0.000778377
2650.1,2,5.3,2.698986392,3.122232266,0.000754689
2541.93,2.09,5.3,2.680887717,3.085017301,0.00082221
2374.73,2.23,5.3,2.651338369,3.027309376,0.000939054
2419.73,2.73,6.6,2.564222973,2.947604262,0.001128225
2420.8,2.73,6.6,2.564414975,2.947796264,0.001127726
2431.9,3,7.28,2.523814333,2.908824458,0.001233603
2413.86,2.74,6.6,2.563168143,2.944961515,0.001135111
2379.71,2.77,6.6,2.5569801,2.934044267,0.001164007
2424.8,2.72,6.6,2.565131988,2.950107019,0.001121742
2424.8,2.72,6.6,2.565131988,2.950107019,0.001121742
2385.76,2.77,6.6,2.558082817,2.935146984,0.001161056
2358.73,3.08,7.28,2.510546851,2.884127514,0.001305787
2491.93,2.87,7.16,2.541622816,2.938653942,0.001151718
2463.79,2.68,6.6,2.572059753,2.963468894,0.001087755
2403.85,2.75,6.6,2.561363429,2.94157467,0.001143998
2452.87,2.85,7,2.544576492,2.934829672,0.001161904
2431.9,2.71,6.6,2.566401777,2.952976422,0.001114355
2495.85,2.65,6.6,2.577674545,2.973972607,0.001061763
2927.62,2.17,6.36,2.66305759,3.130054972,0.000741216
2676.11,1.87,5,2.728533957,3.155662354,0.000698775
2602.05,1.92,5,2.716345633,3.132014409,0.00073788
2647.07,2,5.3,2.698489556,3.12173543,0.000755552
2578.99,1.94,5,2.712479654,3.123647928,0.000752232
2694.13,1.86,5,2.731448544,3.160905604,0.00069039
2593.04,2.04,5.3,2.689533347,3.104179049,0.000786721
2534.96,2.09,5.3,2.679695241,3.083824825,0.000824471
2624.06,1.91,5,2.720003757,3.137940394,0.00072788
2574,2.06,5.3,2.686332673,3.096741322,0.000800311
3749.54,1.4,5.26,2.852992247,3.427849955,0.000373379
3300.98,1.39,4.59,2.856830207,3.375628093,0.000421087
3090.64,2.03,6.28,2.692088777,3.182552383,0.000656822
3448.01,1.58,5.44,2.801969617,3.33891143,0.000458235
2735.28,2.44,6.67,2.612875956,3.049611964,0.000892048
2508.96,2.99,7.5,2.524432474,2.923822549,0.001191729
2470.96,2.4,5.93,2.619811022,3.012654473,0.000971282
2535,2.75,6.97,2.560745186,2.96464527,0.001084813
2546.03,2.45,6.24,2.610678927,3.016697432,0.000962282
3031.7,2.44,7.41,2.611868016,3.094296397,0.000804829
3219.88,2.29,7.37,2.640372199,3.148004204,0.000711207
