Molecular Weight,Ligand Efficiency BEI,pChEMBL Value,lo10(pChEMBL Value),log10(Ligand Efficiency BEI),Ligand Efficiency BEI/MW
2428.87,2.58,6.27,2.58813673,2.973784565,0.001062222
2537.06,2.58,6.54,2.58875299,2.992711032,0.001016925
2477.9,2.53,6.26,2.597509442,2.990963255,0.001021026
2563.01,2.54,6.52,2.594502705,3.003916584,0.000991022
2533.03,2.43,6.14,2.615471962,3.01803406,0.000959325
2374.69,2.78,6.6,2.556062988,2.931562127,0.001170679
2402.7,2.91,7,2.535601508,2.916806559,0.001211137
2577.04,2.14,5.53,2.668396028,3.080707386,0.00083041
2403.73,2.75,6.6,2.561341748,2.94155299,0.001144055
2508.96,2.99,7.5,2.524432474,2.923822549,0.001191729
4087.89,1.84,7.52,2.73528136,3.346681378,0.00045011
3300.98,1.39,4.59,2.856830207,3.375628093,0.000421087
3214.73,1.36,4.36,2.867658014,3.373605595,0.000423053
2628.06,2.02,5.3,2.695359407,3.114283907,0.000768628
2805.31,2.84,7.96,2.547067792,2.99466252,0.001012366
2829.43,2.1,5.94,2.677912509,3.129479659,0.000742199
2611.04,2.03,5.3,2.692537655,3.109317487,0.000777468
2612.09,1.91,5,2.718018132,3.135954769,0.000731215
2886.52,1.89,5.45,2.723978069,3.183912767,0.000654768
2810.43,2.43,6.82,2.614988398,3.063166499,0.000864636
2429.81,2.72,6.6,2.56602838,2.951003411,0.001119429
2360.7,2.97,7,2.52794276,2.900284351,0.001258101
2443.84,2.86,7,2.542974729,2.931706736,0.001170289
2514.92,2.63,6.6,2.580980239,2.980568426,0.001045759
2416.82,3.32,8.03,2.478528761,2.862106223,0.001373706
2541.05,3.27,8.3,2.485935118,2.890465458,0.00128687
2434.92,3.35,8.14,2.475860292,2.86143989,0.001375815
2550.97,3.18,8.11,2.497684497,2.904278231,0.001246585
2617.03,3.06,8.02,2.513634333,2.932087275,0.001169264
2348.77,3.57,8.39,2.44707853,2.818172275,0.001519944
2388.72,2.76,6.6,2.55862131,2.937256164,0.001155431
2474.85,3.49,8.63,2.457538086,2.850723455,0.001410186
2416.73,2.19,5.3,2.658952264,3.042784018,0.000906183
2408.75,2.98,7.17,2.526272572,2.907575464,0.001237156
2376.75,3.52,8.36,2.453777225,2.829440839,0.001481014
2584.96,3.37,8.71,2.472435672,2.884823926,0.001303695
